yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,9,3,9,737.5,1.812
2016,9,3,10,737.5,1.812
2016,9,3,11,737.5,1.812
2016,9,3,12,737.5,1.812
2016,9,3,13,737.5,1.812
2016,9,3,14,737.5,1.812
2016,9,3,15,737.51,1.911
2016,9,3,16,737.51,1.911
2016,9,3,17,737.51,1.911
2016,9,3,18,737.51,1.911
2016,9,3,19,737.51,1.911
2016,9,3,20,737.51,1.911
2016,9,3,21,737.52,2.012
2016,9,3,22,737.52,2.012
2016,9,3,23,737.52,2.012
2016,9,4,0,737.52,2.012
2016,9,4,1,737.52,2.012
2016,9,4,2,737.52,2.012
2016,9,4,3,737.52,2.012
2016,9,4,4,737.53,2.117
2016,9,4,5,737.53,2.117
2016,9,4,6,737.53,2.117
2016,9,4,7,737.53,2.117
2016,9,4,8,737.53,2.117
2016,9,4,9,737.53,2.117
2016,9,4,10,737.53,2.117
2016,9,4,11,737.53,2.117
2016,9,4,12,737.54,2.225
2016,9,4,13,737.54,2.225
2016,9,4,14,737.54,2.225
2016,9,4,15,737.54,2.225
2016,9,4,16,737.54,2.225
2016,9,4,17,737.54,2.225
2016,9,4,18,737.54,2.225
2016,9,4,19,737.54,2.225
